SalaryID,DoctorID,BaseSalary,Bonus,EffectiveDate,PaymentFrequency
1,1,285000.0,15000.0,2015-06-15,Annual
2,1,295000.0,18000.0,2017-06-15,Annual
3,1,310000.0,22000.0,2020-06-15,Annual
4,1,325000.0,25000.0,2023-06-15,Annual
5,2,275000.0,20000.0,2018-03-20,Annual
6,2,290000.0,23000.0,2021-03-20,Annual
7,2,305000.0,25000.0,2024-03-20,Annual
8,3,245000.0,12000.0,2016-08-10,Annual
9,3,260000.0,15000.0,2019-08-10,Annual
10,3,275000.0,18000.0,2022-08-10,Annual
11,4,320000.0,28000.0,2014-01-15,Annual
12,4,340000.0,32000.0,2018-01-15,Annual
13,4,365000.0,35000.0,2022-01-15,Annual
14,5,290000.0,18000.0,2017-09-01,Annual
15,5,305000.0,21000.0,2021-09-01,Annual
16,6,340000.0,30000.0,2013-07-20,Annual
17,6,360000.0,35000.0,2018-07-20,Annual
18,6,385000.0,40000.0,2023-07-20,Annual
19,7,240000.0,10000.0,2019-02-15,Annual
20,7,255000.0,13000.0,2022-02-15,Annual
21,8,295000.0,20000.0,2016-11-30,Annual
22,8,315000.0,24000.0,2020-11-30,Annual
23,9,270000.0,18000.0,2020-05-10,Annual
24,9,285000.0,20000.0,2023-05-10,Annual
25,10,250000.0,14000.0,2018-04-25,Annual
26,10,265000.0,17000.0,2021-04-25,Annual
27,11,315000.0,26000.0,2015-10-05,Annual
28,11,335000.0,30000.0,2019-10-05,Annual
29,11,355000.0,33000.0,2023-10-05,Annual
30,12,285000.0,19000.0,2017-12-15,Annual
31,12,300000.0,22000.0,2021-12-15,Annual
32,13,335000.0,32000.0,2014-03-10,Annual
33,13,355000.0,36000.0,2019-03-10,Annual
34,13,375000.0,40000.0,2024-03-10,Annual
35,14,238000.0,11000.0,2019-06-20,Annual
36,14,252000.0,14000.0,2022-06-20,Annual
37,15,288000.0,19000.0,2016-09-15,Annual
38,15,305000.0,23000.0,2020-09-15,Annual
